Date,From,To,Feature 1,Feature 2,Feature 3,Ouput1,Output 2,TIME-DIFF
5/22/2018,6:20:12,6:23:00,3.26E+09,2.94E+08,9.70E+10,500,3,0:02:48
5/22/2018,6:23:12,6:26:00,4.41E+09,2.51E+08,1.43E+11,500,3,0:02:48
5/22/2018,6:26:12,6:29:00,7.09E+09,1.94E+08,1.78E+11,500,3,0:02:48
5/22/2018,6:29:12,6:32:00,4.72E+09,2.19E+08,1.61E+11,500,3,0:02:48
5/22/2018,6:32:12,6:35:00,6.56E+09,2.18E+08,1.88E+11,500,3,0:02:48
5/22/2018,6:35:12,6:38:00,6.83E+09,2.06E+08,2.02E+11,500,3,0:02:48
5/22/2018,6:38:12,6:41:00,4.97E+09,1.70E+08,1.87E+11,500,3,0:02:48
5/22/2018,6:41:12,6:44:00,5.85E+09,2.07E+08,2.05E+11,500,3,0:02:48
5/22/2018,6:44:12,6:47:00,6.16E+09,1.79E+08,2.03E+11,500,3,0:02:48
5/22/2018,6:47:12,6:50:00,5.26E+09,2.05E+08,1.97E+11,500,3,0:02:48
5/22/2018,6:50:12,6:53:00,8.07E+09,1.93E+08,2.32E+11,500,3,0:02:48
5/22/2018,6:53:12,6:56:00,8.03E+09,1.84E+08,2.27E+11,500,3,0:02:48
5/22/2018,6:56:12,6:59:00,7.14E+09,1.61E+08,2.47E+11,500,3,0:02:48
5/22/2018,6:59:12,7:02:00,7.43E+09,1.87E+08,2.64E+11,500,3,0:02:48
5/22/2018,7:02:12,7:05:00,9.27E+09,1.75E+08,2.53E+11,500,3,0:02:48
5/22/2018,7:05:12,7:08:00,9.18E+09,2.14E+08,2.91E+11,500,3,0:02:48
5/22/2018,7:08:12,7:11:00,7.57E+09,1.95E+08,2.44E+11,500,3,0:02:48
5/22/2018,7:11:12,7:14:00,8.27E+09,2.20E+08,2.79E+11,500,3,0:02:48
5/22/2018,7:14:12,7:17:00,7.54E+09,2.22E+08,2.88E+11,500,3,0:02:48
5/22/2018,7:17:12,7:20:00,7.89E+09,1.82E+08,2.77E+11,500,3,0:02:48
5/22/2018,7:20:12,7:23:00,1.08E+10,1.91E+08,3.34E+11,500,3,0:02:48
5/22/2018,7:23:12,7:26:00,7.42E+09,1.83E+08,2.76E+11,500,3,0:02:48
5/22/2018,7:26:12,7:29:00,8.22E+09,2.05E+08,3.31E+11,500,3,0:02:48
5/22/2018,7:29:12,7:32:00,9.04E+09,2.04E+08,3.02E+11,500,3,0:02:48
